,model,top_k,model_top_k_name,right_answer_format,valid_icpc_2_code_rate,relevant_code_is_in_search_results,selected_code_is_in_search_results,selected_code_is_in_relevant_codes,selected_code_is_in_relevant_codes_and_in_search_results,precision,recall,f1_score,ideal_scn_precision,ideal_scn_recall,ideal_scn_f1_score
11,gpt-4.5-preview,100,gpt-4.5-preview-top-100,1.0,1.0,0.8597701149425288,0.9799498746867168,0.7471264367816092,0.8609625668449198,0.8145363408521303,0.9420289855072463,0.8736559139784947,0.8333333333333334,0.9420289855072463,0.8843537414965987
138,o3,100,o3-top-100,1.0,1.0,0.8597701149425288,0.9879518072289156,0.7609195402298851,0.8796791443850267,0.7975903614457831,0.9650145772594753,0.8733509234828496,0.8213399503722084,0.9650145772594753,0.8873994638069704
86,gpt-4.5-preview,200,gpt-4.5-preview-top-200,1.0,0.9974937343358395,0.8666666666666667,0.9824561403508771,0.7448275862068966,0.8514588859416445,0.8120300751879699,0.9391304347826087,0.8709677419354838,0.826530612244898,0.9391304347826087,0.8792401628222524
135,o3,10,o3-top-10,1.0,1.0,0.8344827586206897,0.9875311720698254,0.7494252873563219,0.8925619834710744,0.8129675810473815,0.9340974212034384,0.8693333333333332,0.8511749347258486,0.9340974212034384,0.8907103825136613
10,gpt-4.5-preview,50,gpt-4.5-preview-top-50,1.0,1.0,0.8528735632183908,0.9825436408977556,0.7425287356321839,0.862533692722372,0.8054862842892768,0.938953488372093,0.8671140939597316,0.8282051282051283,0.938953488372093,0.8801089918256131
88,DeepSeek-V3,200,DeepSeek-V3-top-200,1.0,1.0,0.8666666666666667,0.9854368932038835,0.7471264367816092,0.8541114058355438,0.7888349514563107,0.9558823529411765,0.8643617021276595,0.8024691358024691,0.9558823529411765,0.87248322147651
9,gpt-4.5-preview,20,gpt-4.5-preview-top-20,1.0,1.0,0.8413793103448276,0.9848484848484849,0.7310344827586207,0.860655737704918,0.803030303030303,0.9244186046511628,0.8594594594594593,0.8302872062663186,0.9244186046511628,0.874828060522696
110,gemini-2.5-pro-exp-03-25,200,gemini-2.5-pro-exp-03-25-top-200,0.9977011494252873,1.0,0.8666666666666667,0.9880382775119617,0.7448275862068966,0.8514588859416445,0.7751196172248804,0.9642857142857143,0.8594164456233422,0.7960687960687961,0.9642857142857143,0.8721399730820997
54,DeepSeek-V3,50,DeepSeek-V3-top-50,1.0,1.0,0.8528735632183908,0.9875621890547264,0.7333333333333333,0.8544474393530997,0.7935323383084577,0.9354838709677419,0.8586810228802153,0.811704834605598,0.9354838709677419,0.8692098092643052
109,gemini-2.5-pro-exp-03-25,100,gemini-2.5-pro-exp-03-25-top-100,0.9954022988505747,1.0,0.8597701149425288,0.9878345498783455,0.7402298850574712,0.8529411764705882,0.7834549878345499,0.9498525073746312,0.8586666666666666,0.8029925187032418,0.9498525073746312,0.8702702702702703
23,o3-mini,100,o3-mini-top-100,1.0,1.0,0.8597701149425288,0.9874371859296482,0.728735632183908,0.839572192513369,0.7964824120603015,0.9296187683284457,0.8579161028416779,0.8170103092783505,0.9296187683284457,0.869684499314129
114,Llama-4-Maverick-Instruct-Basic,100,Llama-4-Maverick-Instruct-Basic-top-100,1.0,0.9976359338061466,0.8597701149425288,0.9810874704491725,0.7448275862068966,0.8609625668449198,0.7659574468085106,0.972972972972973,0.8571428571428571,0.7941176470588235,0.972972972972973,0.874493927125506
126,gpt-4.1-mini,100,gpt-4.1-mini-top-100,1.0,1.0,0.8597701149425288,0.9832935560859188,0.7425287356321839,0.8556149732620321,0.7708830548926014,0.9641791044776119,0.856763925729443,0.7916666666666666,0.9641791044776119,0.8694481830417228
87,gemini-2.0-pro-exp-02-05,200,gemini-2.0-pro-exp-02-05-top-200,0.9977011494252873,1.0,0.8666666666666667,0.9880382775119617,0.7425287356321839,0.8488063660477454,0.7727272727272727,0.9613095238095238,0.8567639257294428,0.7916666666666666,0.9613095238095238,0.868279569892473
136,o3,20,o3-top-20,1.0,1.0,0.8413793103448276,0.9828431372549019,0.735632183908046,0.8661202185792349,0.7843137254901961,0.943952802359882,0.856760374832664,0.8184143222506394,0.943952802359882,0.8767123287671234
8,gpt-4.5-preview,10,gpt-4.5-preview-top-10,1.0,1.0,0.8344827586206897,0.9846938775510204,0.7264367816091954,0.8650137741046832,0.8061224489795918,0.9132947976878613,0.8563685636856369,0.8381962864721485,0.9132947976878613,0.8741355463347164
84,DeepSeek-R1,200,DeepSeek-R1-top-200,0.9885057471264368,1.0,0.8666666666666667,0.9876237623762376,0.735632183908046,0.843501326259947,0.7920792079207921,0.9302325581395349,0.855614973262032,0.810126582278481,0.9302325581395349,0.8660351826792962
34,gemini-2.0-pro-exp-02-05,50,gemini-2.0-pro-exp-02-05-top-50,1.0,1.0,0.8528735632183908,0.9808612440191388,0.7333333333333333,0.8544474393530997,0.7631578947368421,0.9696048632218845,0.854082998661312,0.7955112219451371,0.9696048632218845,0.873972602739726
124,gpt-4.1-mini,20,gpt-4.1-mini-top-20,1.0,0.9975903614457832,0.8413793103448276,0.9783132530120482,0.7333333333333333,0.8633879781420765,0.7686746987951807,0.9608433734939759,0.8540829986613119,0.8035264483627204,0.9608433734939759,0.8751714677640603
89,o3-mini,200,o3-mini-top-200,1.0,1.0,0.8666666666666667,0.9874055415617129,0.7218390804597701,0.8249336870026526,0.7909319899244333,0.9262536873156342,0.8532608695652174,0.8051282051282052,0.9262536873156342,0.8614540466392318
35,gemini-2.0-pro-exp-02-05,100,gemini-2.0-pro-exp-02-05-top-100,0.9977011494252873,1.0,0.8597701149425288,0.9854721549636803,0.7333333333333333,0.8449197860962567,0.7723970944309927,0.9522388059701492,0.8529411764705882,0.7955112219451371,0.9522388059701492,0.8668478260869564
137,o3,50,o3-top-50,0.9977011494252873,1.0,0.8528735632183908,0.9878640776699029,0.7310344827586207,0.8517520215633423,0.7718446601941747,0.9520958083832335,0.8525469168900803,0.7989949748743719,0.9520958083832335,0.8688524590163934
55,DeepSeek-V3,100,DeepSeek-V3-top-100,1.0,1.0,0.8597701149425288,0.9876543209876543,0.7241379310344828,0.8342245989304813,0.7777777777777778,0.9402985074626866,0.8513513513513513,0.7914572864321608,0.9402985074626866,0.8594815825375172
